molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1215813,inactive,4.958607314841775,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,2646.1369999999965,-9.892899999999987,38.0,38.0
CHEMBL1215816,inactive,4.3979400086720375,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,2662.135999999996,-10.92049999999999,39.0,39.0
CHEMBL3823840,inactive,4.0,CN(C)c1ccc(-c2nc3cc(F)c(F)cc3n3cccc23)cc1,323.346,4.498700000000003,0.0,2.0
CHEMBL3822797,inactive,4.0,CN(C)c1ccc(-c2nc3cc(F)ccc3n3cccc23)cc1,305.356,4.359600000000003,0.0,2.0
CHEMBL3823654,inactive,4.0,CN(C)c1ccc(-c2nc3cc(OC(C)(C)C(N)=O)ccc3n3cccc23)cc1,388.47100000000006,3.8632000000000017,1.0,4.0
CHEMBL3823875,inactive,4.559090917934782,CN(C)c1ccc(-c2nc3ccccc3n3cccc23)cc1,287.36600000000004,4.220500000000003,0.0,2.0
CHEMBL2316719,inactive,4.806318970458719,CN(C)c1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,395.67300000000006,4.582700000000003,0.0,3.0
CHEMBL2316728,inactive,4.301029995663981,CN(C)c1ccc(C2=C(N3CCOCC3)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,446.3340000000001,3.6761000000000026,0.0,5.0
CHEMBL5276360,inactive,4.301029995663981,COS(=O)(=O)c1cc(NC(=O)Oc2ccccc2)ccc1/C=C/c1ccc(NC(=O)Oc2ccccc2)cc1S(=O)(=O)OC,638.6760000000003,5.749000000000006,2.0,10.0
CHEMBL2316726,inactive,4.354872600741609,COc1ccc(C2=C(N3CCOCC3)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,433.2910000000001,3.6187000000000022,0.0,5.0
CHEMBL1547184,inactive,4.217169194797409,COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,319.408,4.066800000000002,1.0,3.0
CHEMBL3824267,inactive,4.886056647693163,COc1ccc2c(c1)nc(-c1ccc(N(C)C)cc1)c1cccn12,317.39200000000005,4.229100000000003,0.0,3.0
CHEMBL3824107,inactive,4.247183568811729,COc1ccc2c(c1)nc(-c1ccc(N)cc1)c1cccn12,289.338,3.745300000000001,1.0,3.0
CHEMBL3823373,inactive,4.170696227168975,COc1ccc2c(c1)nc(-c1ccc(O)cc1)c1cccn12,290.322,3.8687000000000022,1.0,3.0
