molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL3824080,Nc1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3823105,CCNc1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3822575,c1ccc2c(c1)nc(-c1ccc(N3CCOCC3)cc1)c1cccn12,100000,inactive
CHEMBL3823966,c1cncc(-c2nc3ccccc3n3cccc23)c1,100000,inactive
CHEMBL3822942,c1ccc2c(c1)nc(-c1ccncc1)c1cccn12,100000,inactive
CHEMBL3823373,COc1ccc2c(c1)nc(-c1ccc(O)cc1)c1cccn12,35000,inactive
CHEMBL3824107,COc1ccc2c(c1)nc(-c1ccc(N)cc1)c1cccn12,100000,inactive
CHEMBL3822556,Oc1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,100000,inactive
CHEMBL3824216,O=[N+]([O-])c1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,57800,inactive
CHEMBL3823002,Nc1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,96900,inactive
CHEMBL3823899,Nc1ccc(-c2nc3cc(F)ccc3n3cccc23)cc1,81500,inactive
CHEMBL3823795,Nc1ccc(-c2nc3cc(F)c(F)cc3n3cccc23)cc1,100000,inactive
CHEMBL3823248,COc1ccc2c(c1)nc(-c1cccnc1)c1cccn12,100000,inactive
CHEMBL3823341,Oc1ccc2c(c1)nc(-c1cccnc1)c1cccn12,100000,inactive
CHEMBL1547184,COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,13100,inactive
CHEMBL1547184,COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,21300,inactive
CHEMBL1547184,COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,100000,inactive
CHEMBL3824267,COc1ccc2c(c1)nc(-c1ccc(N(C)C)cc1)c1cccn12,13000,inactive
CHEMBL3823875,CN(C)c1ccc(-c2nc3ccccc3n3cccc23)cc1,27600,inactive
CHEMBL3823677,O=[N+]([O-])c1cccc(-c2nc3ccccc3n3cccc23)c1,100000,inactive
CHEMBL3824220,Nc1cccc(-c2nc3ccccc3n3cccc23)c1,91100,inactive
CHEMBL3823737,Oc1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3822905,FC(F)(F)Oc1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3823934,O=[N+]([O-])c1ccc(-c2nc3ccccc3n3cccc23)cc1,100000,inactive
CHEMBL3824080,Nc1ccc(-c2nc3ccccc3n3cccc23)cc1,22100,inactive
CHEMBL3823105,CCNc1ccc(-c2nc3ccccc3n3cccc23)cc1,11100,inactive
CHEMBL3823629,c1ccc2c(c1)nc(-c1ccc(N3CCCC3)cc1)c1cccn12,100000,inactive
CHEMBL3822575,c1ccc2c(c1)nc(-c1ccc(N3CCOCC3)cc1)c1cccn12,27200,inactive
CHEMBL3823966,c1cncc(-c2nc3ccccc3n3cccc23)c1,71700,inactive
CHEMBL3822942,c1ccc2c(c1)nc(-c1ccncc1)c1cccn12,79400,inactive
CHEMBL224458,C1=C(c2nc3ccccc3n3cccc23)CCCC1,100000,inactive
CHEMBL3824268,c1ccc2c(-c3nc4ccccc4n4cccc34)cccc2c1,100000,inactive
CHEMBL3823373,COc1ccc2c(c1)nc(-c1ccc(O)cc1)c1cccn12,100000,inactive
CHEMBL3824180,COc1ccc2c(c1)nc(-c1ccc([N+](=O)[O-])cc1)c1cccn12,100000,inactive
CHEMBL3824107,COc1ccc2c(c1)nc(-c1ccc(N)cc1)c1cccn12,13200,inactive
CHEMBL3822556,Oc1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,27600,inactive
CHEMBL3824216,O=[N+]([O-])c1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,100000,inactive
CHEMBL3823002,Nc1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,8400,intermediate
CHEMBL3822706,CN(C)c1ccc(-c2nc3cc(O)ccc3n3cccc23)cc1,9800,intermediate
CHEMBL3823899,Nc1ccc(-c2nc3cc(F)ccc3n3cccc23)cc1,25000,inactive
CHEMBL3822797,CN(C)c1ccc(-c2nc3cc(F)ccc3n3cccc23)cc1,100000,inactive
CHEMBL3823795,Nc1ccc(-c2nc3cc(F)c(F)cc3n3cccc23)cc1,34000,inactive
CHEMBL3823105,CCNc1ccc(-c2nc3ccccc3n3cccc23)cc1,3000,intermediate
CHEMBL1567670,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,6000,intermediate
